year,month,day,TM,TX,TN,HRM,HRX,HRN,PM,PX,PN,PPT,RS24h,VVM10,DVM10,VVX10,DVVX10
2020,3,5,15.149999999999999,21.75,10.075,60.0,87.75,35.25,986.2666666666668,993.4333333333334,981.3333333333334,0.6,12.766666666666666,3.733333333333333,270.6666666666667,15.799999999999999,278.3333333333333
2020,3,6,11.15,16.75,7.65,47.5,61.0,29.75,988.1666666666666,994.1666666666666,985.1666666666666,0.0,15.133333333333333,4.933333333333334,311.3333333333333,17.233333333333334,204.0
2020,3,7,11.675,18.675,6.550000000000001,51.25,79.25,25.0,998.1666666666666,1002.9,994.0,0.0,18.866666666666664,3.6999999999999997,283.3333333333333,9.200000000000001,277.3333333333333
2020,3,8,13.024999999999999,17.85,9.15,62.0,80.5,42.0,1000.9,1002.9333333333334,998.9333333333334,0.0,17.099999999999998,2.3000000000000003,282.6666666666667,7.966666666666668,239.0
2020,3,9,12.925,18.65,9.85,66.5,81.5,35.0,998.8000000000001,1001.4666666666667,996.5333333333333,0.0,16.96666666666667,2.966666666666667,138.33333333333334,10.766666666666666,152.33333333333334
2020,3,10,12.625,16.5,9.4,63.0,80.75,44.5,1002.5666666666666,1003.9666666666667,1001.1666666666666,0.0,14.0,3.3333333333333335,273.6666666666667,9.433333333333332,264.6666666666667
2020,3,11,13.825,17.675,9.9,73.75,90.5,58.0,1001.9333333333334,1003.5666666666666,1000.9333333333334,0.0,18.633333333333333,2.033333333333333,209.66666666666666,6.8999999999999995,272.6666666666667
2020,3,12,14.65,20.7,10.5,76.0,95.5,48.75,999.4,1001.2333333333332,997.2333333333332,0.0,17.666666666666668,2.1999999999999997,194.33333333333334,6.966666666666666,129.0
2020,3,13,14.55,20.325,11.15,81.0,97.5,57.5,998.4333333333334,1000.2333333333332,996.8666666666667,0.0,17.433333333333334,1.6333333333333335,216.33333333333334,7.533333333333334,178.33333333333334
2020,3,14,14.0,17.3,11.5,77.75,93.5,62.75,999.0333333333333,1000.1,997.5,0.0,11.033333333333333,1.7666666666666666,226.33333333333334,6.2,174.0
2020,3,15,13.275,17.375,10.15,83.0,93.75,60.75,997.5333333333334,999.8666666666667,995.6,0.0,14.566666666666668,2.2666666666666666,191.66666666666666,8.9,216.0
2020,3,16,12.875,13.7,12.05,89.0,98.0,75.0,996.9,1002.9333333333334,993.6,22.0,1.0999999999999999,5.933333333333333,78.66666666666667,15.199999999999998,78.0
2020,3,17,14.05,16.025000000000002,11.9,77.25,93.5,64.25,1006.2666666666668,1008.6666666666666,1002.0666666666666,0.2333333333333333,7.766666666666667,4.533333333333333,67.66666666666667,13.1,80.0
2020,3,18,13.175,17.425,10.7,74.25,93.5,46.75,1006.1999999999999,1008.0666666666666,1004.4666666666667,0.0,15.333333333333334,1.6666666666666667,65.66666666666667,6.3,70.33333333333333
2020,3,19,12.125,16.075,8.85,79.5,96.5,60.0,1002.5,1004.6333333333333,1000.8333333333334,0.0,18.566666666666666,1.5666666666666667,85.33333333333333,5.3,103.33333333333333
2020,3,20,12.325,16.15,9.05,75.0,89.25,56.75,998.9666666666667,1000.8333333333334,996.5666666666666,0.0,19.966666666666665,2.3000000000000003,64.33333333333333,6.833333333333333,100.0
2020,3,21,12.75,16.9,8.975,72.5,91.0,52.25,993.6333333333333,996.6,991.5666666666666,0.0,19.133333333333333,2.466666666666667,66.0,7.0,93.0
2020,3,22,13.125,16.025000000000002,10.75,86.25,94.75,72.25,993.1999999999999,996.1,991.0666666666666,1.9000000000000001,12.799999999999999,3.466666666666667,66.33333333333333,9.5,74.33333333333333
2020,3,23,12.775,15.675,10.95,86.25,98.0,71.75,998.0666666666666,1000.2333333333332,995.5333333333334,17.2,10.833333333333334,4.333333333333333,67.0,12.933333333333332,78.0
2020,3,24,11.375,14.1,9.025,67.75,80.75,56.25,999.0666666666666,1000.3000000000001,997.4666666666667,0.0,15.5,5.3999999999999995,70.33333333333333,13.366666666666667,71.0
2020,3,25,9.25,13.65,7.0,58.75,85.75,38.25,995.6,998.4,991.3666666666667,2.966666666666667,10.733333333333334,2.9,48.666666666666664,9.966666666666667,58.333333333333336
2020,3,26,8.575,11.7,6.075,65.5,76.5,54.75,989.3000000000001,992.2666666666668,987.1333333333333,0.0,16.666666666666668,3.8333333333333335,41.333333333333336,13.6,74.33333333333333
2020,3,27,10.2,15.75,5.475,51.5,72.25,29.25,993.2333333333332,995.5666666666666,991.6333333333333,0.0,13.766666666666666,2.8666666666666667,306.6666666666667,7.833333333333333,279.0
2020,3,28,13.45,17.5,10.45,54.5,68.0,42.5,996.0,997.1999999999999,994.9,0.0,18.8,2.2333333333333334,188.66666666666666,6.866666666666667,243.33333333333334
2020,3,29,14.275,19.625,9.575,61.0,82.25,40.0,993.9333333333334,996.0666666666666,992.4333333333334,0.19999999999999998,21.53333333333333,2.5,228.66666666666666,7.666666666666667,278.3333333333333
2020,3,30,9.5,13.3,7.324999999999999,83.0,94.0,73.25,993.5333333333333,994.5,992.0,5.3999999999999995,2.533333333333333,3.3000000000000003,35.333333333333336,11.933333333333332,67.66666666666667
2020,3,31,10.8,12.575,8.675,75.0,86.5,63.25,993.3000000000001,994.8666666666667,992.0,3.1666666666666665,4.833333333333333,4.966666666666667,66.0,12.166666666666666,59.666666666666664
2020,4,1,10.6,12.1,9.1,89.25,97.75,81.5,993.2333333333332,994.8666666666667,991.2333333333332,16.7,2.433333333333333,6.666666666666667,64.33333333333333,16.3,69.33333333333333
2020,4,2,11.4,14.5,9.275,70.75,84.0,57.5,991.3666666666667,993.4333333333334,989.7333333333332,0.0,11.266666666666666,4.066666666666667,55.666666666666664,12.5,57.666666666666664
2020,4,3,12.325,16.85,8.2,67.5,89.75,44.75,995.0333333333334,998.1999999999999,992.4,0.0,19.2,2.7999999999999994,258.0,9.533333333333333,223.66666666666666
2020,4,4,13.175,18.075,9.1,69.0,87.5,44.25,999.1,1000.6999999999999,997.4666666666667,0.0,24.066666666666666,2.3666666666666667,227.0,8.0,215.33333333333334
2020,4,5,13.25,18.45,8.5,65.25,90.0,36.75,1000.1333333333332,1001.4333333333334,999.1666666666666,0.0,24.733333333333334,2.1,223.33333333333334,6.733333333333333,185.33333333333334
2020,4,6,13.625,18.0,9.85,70.5,86.0,50.25,1003.1999999999999,1005.5,1000.5333333333333,0.0,22.333333333333332,1.6333333333333335,201.33333333333334,5.633333333333333,162.0
2020,4,7,14.5,18.6,11.575,72.5,88.75,45.75,1005.6666666666666,1006.8666666666667,1004.6,0.0,18.366666666666667,1.7666666666666666,210.33333333333334,5.866666666666667,164.0
2020,4,8,15.225,19.35,12.375,63.0,90.25,32.75,1004.1666666666666,1006.1666666666666,1002.7333333333332,0.0,22.46666666666667,1.6666666666666667,189.33333333333334,6.366666666666667,171.66666666666666
2020,4,9,15.025,18.9,11.875,71.0,91.25,48.0,1001.7666666666668,1003.0,1000.6,0.0,22.433333333333334,1.8,218.0,6.233333333333333,172.0
2020,4,10,15.450000000000001,20.15,11.25,64.5,92.75,38.75,1001.6666666666666,1002.7333333333332,1000.7666666666668,0.0,22.133333333333336,2.1666666666666665,219.33333333333334,6.7,180.66666666666666
2020,4,11,15.475000000000001,20.549999999999997,11.4,66.5,88.25,40.5,1001.8333333333334,1003.1333333333333,1000.7666666666668,0.0,21.066666666666666,2.2666666666666666,229.0,8.200000000000001,192.0
2020,4,12,15.65,19.8,12.0,65.25,86.75,35.5,997.9666666666667,1001.9,992.5333333333333,0.0,22.833333333333332,1.9000000000000001,107.33333333333333,6.533333333333334,102.66666666666667
2020,4,13,13.35,14.675,12.075,87.75,97.75,75.0,989.5333333333333,992.6333333333333,987.4,24.3,2.233333333333333,4.233333333333333,55.666666666666664,12.0,55.333333333333336
2020,4,14,14.9,18.725,11.875,76.5,93.25,55.75,993.0,995.0666666666666,991.5333333333334,0.03333333333333333,24.233333333333334,2.3666666666666667,145.0,9.333333333333334,66.0
2020,4,15,14.825,17.975,11.6,83.75,96.75,59.5,997.5333333333333,1000.0666666666666,994.8000000000001,0.9666666666666667,20.733333333333334,3.4,76.33333333333333,10.1,86.0
2020,4,16,15.675,18.825,13.875,80.0,94.5,63.0,998.3666666666667,1000.1333333333333,996.6333333333333,0.0,21.7,2.533333333333333,81.33333333333333,6.7,82.33333333333333
2020,4,17,15.8,19.075,13.275,83.25,94.75,65.75,996.6999999999999,998.6666666666666,994.7333333333332,0.0,15.766666666666666,1.8333333333333333,219.33333333333334,6.733333333333333,229.33333333333334
2020,4,18,16.075000000000003,19.025,14.4,85.75,98.75,62.25,995.1999999999999,997.4,992.1333333333333,6.866666666666667,14.699999999999998,3.5,84.33333333333333,11.9,45.666666666666664
2020,4,19,15.1,15.525,14.524999999999999,98.25,99.75,94.75,989.1999999999999,993.3666666666667,986.5333333333333,76.96666666666665,2.5,3.533333333333333,66.33333333333333,9.4,83.33333333333333
2020,4,20,15.05,18.025,14.2,96.5,99.5,82.75,985.0,986.5333333333333,984.1,35.23333333333333,6.2,1.9000000000000001,187.0,8.0,30.666666666666668
